GID	SYMBOL	GENENAME
AEP_01992	WP_087495230.1	flagellar biosynthesis protein FlhA
AEP_01993	WP_087495231.1	flagellar biosynthesis protein FlhF
AEP_01994	WP_157673122.1	hypothetical protein
AEP_01995	WP_087495233.1	RNA polymerase sigma factor FliA
AEP_01996	WP_087495234.1	hypothetical protein
AEP_01997	WP_087495235.1	flagellar biosynthesis anti-sigma factor FlgM
AEP_01998	WP_087495236.1	flagellar basal body P-ring formation chaperone FlgA
AEP_01999	WP_087495237.1	flagellar basal body rod protein FlgB
AEP_02000	WP_087495238.1	flagellar basal body rod protein FlgC
AEP_02001	WP_087495239.1	flagellar biosynthesis protein FlgD
AEP_02002	WP_087495240.1	flagellar hook protein FlgE
AEP_02003	WP_087495241.1	flagellar basal body rod protein FlgF
AEP_02004	WP_087495242.1	flagellar basal-body rod protein FlgG
AEP_02005	WP_087495243.1	flagellar basal body L-ring protein FlgH
AEP_02006	WP_232459999.1	flagellar basal body P-ring protein FlgI
AEP_02007	WP_087495245.1	flagellar assembly peptidoglycan hydrolase FlgJ
AEP_02008	WP_087495246.1	flagellar hook-associated protein FlgK
AEP_02009	WP_087495247.1	flagellar hook-associated protein FlgL
AEP_02010	WP_087495248.1	HDOD domain-containing protein
AEP_02011	WP_087495249.1	DUF3391 domain-containing protein
AEP_02012	WP_087495250.1	methyl-accepting chemotaxis protein
AEP_02013	WP_232459980.1	methyl-accepting chemotaxis protein
AEP_02014	WP_087495251.1	PLP-dependent aminotransferase family protein
AEP_02015	WP_087495252.1	DMT family transporter
AEP_02016	WP_087495253.1	LysE family translocator
AEP_02017	WP_087495254.1	DHCW motif cupin fold protein
AEP_02018	WP_087495255.1	PLP-dependent aminotransferase family protein
AEP_02019	WP_087495256.1	glutathione S-transferase family protein
AEP_02020	WP_087495257.1	PhzF family phenazine biosynthesis protein
AEP_02021	WP_087495258.1	PhzF family phenazine biosynthesis protein
AEP_02022	WP_087495259.1	LysE family translocator
AEP_02023	WP_087495260.1	threonine dehydratase
none	WP_087495262.1	J domain-containing protein
AEP_02025	WP_087495263.1	histidine phosphatase family protein
AEP_02026	WP_232460000.1	ammonium transporter
AEP_02027	WP_087495264.1	hypothetical protein
AEP_02028	WP_232459803.1	hypothetical protein
AEP_02029	WP_087497278.1	CapA family protein
AEP_02030	WP_087495266.1	response regulator transcription factor
AEP_02031	WP_087495267.1	HAMP domain-containing histidine kinase
AEP_02032	WP_087495268.1	hypothetical protein
AEP_02033	WP_087495269.1	creatininase family protein
AEP_02034	WP_157673123.1	ATP-binding protein
AEP_02035	WP_087495271.1	thioredoxin family protein
AEP_02036	WP_087495272.1	CoA-binding protein
AEP_02037	WP_087495273.1	uroporphyrinogen decarboxylase
AEP_02038	WP_087495274.1	primosomal protein N'
AEP_02039	WP_232459804.1	hypothetical protein
AEP_02040	WP_087495275.1	AEC family transporter
AEP_02041	WP_087495276.1	UvrD-helicase domain-containing protein
AEP_02042	WP_087495277.1	phospholipase A
AEP_02043	WP_087495278.1	hypothetical protein
AEP_02045	WP_087495279.1	response regulator
AEP_02046	WP_087495280.1	ATP-binding protein
AEP_02047	WP_232459805.1	DUF4390 domain-containing protein
AEP_02048	WP_087495282.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
AEP_02049	WP_087495283.1	LemA family protein
AEP_02050	WP_087495284.1	DNA-directed RNA polymerase subunit beta'
AEP_02051	WP_087495285.1	DNA-directed RNA polymerase subunit beta
AEP_02052	WP_087495286.1	50S ribosomal protein L7/L12
AEP_02053	WP_087495287.1	50S ribosomal protein L10
AEP_02054	WP_087495288.1	50S ribosomal protein L1
AEP_02055	WP_087495289.1	50S ribosomal protein L11
AEP_02056	WP_087495290.1	transcription termination/antitermination protein NusG
AEP_02057	WP_087495291.1	preprotein translocase subunit SecE
AEP_02059	WP_087495292.1	elongation factor Tu
AEP_02063	WP_087495293.1	uracil-DNA glycosylase
AEP_02064	WP_087495294.1	indole-3-glycerol phosphate synthase TrpC
AEP_02065	WP_087495295.1	anthranilate phosphoribosyltransferase
AEP_02066	WP_087495296.1	LysE family translocator
AEP_02067	WP_087495297.1	low-specificity L-threonine aldolase
AEP_02068	WP_087495298.1	aminodeoxychorismate/anthranilate synthase component II
AEP_02069	WP_087495299.1	chorismate mutase
AEP_02070	WP_087495300.1	anthranilate synthase component I
AEP_02071	WP_087495301.1	chalcone isomerase family protein
AEP_02072	WP_232459806.1	methyl-accepting chemotaxis protein
none	none	MCP four helix bundle domain-containing protein
AEP_02073	none	methyl-accepting chemotaxis protein
AEP_02074	WP_087497280.1	phosphoglycolate phosphatase
AEP_02075	WP_232460002.1	EAL domain-containing protein
AEP_02076	WP_157673124.1	PAS domain-containing protein
AEP_02077	WP_087495305.1	ribulose-phosphate 3-epimerase
AEP_02078	WP_087495306.1	Co2+/Mg2+ efflux protein ApaG
AEP_02079	WP_087495307.1	site-specific recombinase
AEP_02080	WP_087495308.1	thiamine-phosphate kinase
AEP_02081	WP_232459807.1	Crp/Fnr family transcriptional regulator
AEP_02082	WP_087495309.1	EAL domain-containing protein
AEP_02083	WP_087495310.1	hypothetical protein
AEP_02084	WP_087495311.1	HNH endonuclease
AEP_02085	WP_087495312.1	ABC transporter permease
AEP_02086	WP_087497282.1	ABC transporter ATP-binding protein
AEP_02087	WP_087495313.1	efflux RND transporter periplasmic adaptor subunit
AEP_02088	WP_232459808.1	efflux transporter outer membrane subunit
AEP_02089	WP_087495315.1	YafY family transcriptional regulator
AEP_02090	WP_087495316.1	DUF2177 family protein
AEP_02091	WP_087495317.1	EVE domain-containing protein
AEP_02092	WP_087495318.1	VOC family protein
AEP_02093	WP_087495319.1	PilZ domain-containing protein
AEP_02094	WP_087495320.1	tautomerase family protein
AEP_02095	WP_157673125.1	hypothetical protein
AEP_02096	WP_087495322.1	LysR family transcriptional regulator
AEP_02097	WP_087495323.1	GntR family transcriptional regulator
AEP_02098	WP_087495324.1	transporter substrate-binding domain-containing protein
AEP_02099	WP_087495325.1	amino acid ABC transporter permease
AEP_02100	WP_087495326.1	amino acid ABC transporter permease
none	WP_087495327.1	amino acid ABC transporter ATP-binding protein
AEP_02102	WP_232460003.1	phosphatidylglycerophosphatase A
AEP_02103	WP_087495329.1	CinA family protein
AEP_02104	WP_087495330.1	transporter substrate-binding domain-containing protein
AEP_02105	WP_087495331.1	alpha/beta hydrolase
AEP_02106	WP_087495332.1	SDR family NAD(P)-dependent oxidoreductase
AEP_02107	WP_087495333.1	outer membrane beta-barrel protein
AEP_02108	WP_087495334.1	UPF0149 family protein
AEP_02109	WP_087495335.1	FMN-binding glutamate synthase family protein
AEP_02110	WP_087495336.1	PAS domain S-box protein
AEP_02111	WP_087495337.1	hypothetical protein
AEP_02112	WP_087495338.1	hypothetical protein
AEP_02113	WP_087495339.1	putative toxin-antitoxin system toxin component, PIN family
AEP_02114	WP_087495340.1	THUMP domain-containing protein
AEP_02115	WP_157673126.1	rhodanese-like domain-containing protein
AEP_02116	WP_087495342.1	RNA polymerase factor sigma-54
AEP_02117	WP_087495343.1	LPS export ABC transporter ATP-binding protein
AEP_02118	WP_087495344.1	lipopolysaccharide transport periplasmic protein LptA
AEP_02119	WP_087495345.1	exopolyphosphatase
AEP_02120	WP_087497283.1	thiol:disulfide interchange protein DsbA/DsbL
AEP_02121	WP_087495346.1	SPOR domain-containing protein
AEP_02122	WP_087495347.1	arginine--tRNA ligase
AEP_02123	WP_087495348.1	PsiF family protein
AEP_02124	WP_087495349.1	EAL domain-containing protein
AEP_02125	WP_087495350.1	4-hydroxybenzoate octaprenyltransferase
AEP_02126	WP_087495351.1	LysR substrate-binding domain-containing protein
AEP_02127	WP_157673127.1	DMT family transporter
AEP_02128	WP_157673128.1	hypothetical protein
AEP_02129	WP_157673129.1	transporter substrate-binding domain-containing protein
AEP_02130	WP_087495354.1	ATP-dependent DNA helicase RecG
AEP_02131	WP_087495355.1	tripartite tricarboxylate transporter substrate binding protein
AEP_02132	WP_157673130.1	hypothetical protein
AEP_02133	WP_087495357.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
AEP_02134	WP_087495358.1	tRNA guanosine(34) transglycosylase Tgt
none	none	methyl-accepting chemotaxis protein
none	none	Tar ligand binding domain-containing protein
AEP_02136	WP_087495360.1	methyl-accepting chemotaxis protein
AEP_02137	WP_087495361.1	FIST C-terminal domain-containing protein
AEP_02138	WP_087495362.1	hypothetical protein
AEP_02139	WP_087495363.1	PepSY domain-containing protein
AEP_02140	WP_087495364.1	DUF2946 domain-containing protein
none	WP_257789665.1	copper uptake system-associated protein
none	none	copper chaperone PCu(A)C
AEP_02142	WP_087495366.1	YcnI family protein
AEP_02143	WP_087495367.1	DUF2946 family protein
AEP_02144	WP_087495368.1	TraR/DksA family transcriptional regulator
AEP_02145	WP_087497284.1	hypothetical protein
AEP_02146	WP_087495369.1	S-formylglutathione hydrolase
AEP_02147	WP_087495370.1	fumarylacetoacetate hydrolase family protein
AEP_02148	WP_157673131.1	DUF3108 domain-containing protein
AEP_02149	WP_157673132.1	DUF3108 domain-containing protein
AEP_02150	WP_087495373.1	DUF3567 domain-containing protein
AEP_02151	WP_087495374.1	formyltetrahydrofolate deformylase
AEP_02152	WP_232459809.1	methyl-accepting chemotaxis protein
AEP_02153	WP_087495375.1	archaetidylserine decarboxylase
AEP_02154	WP_087495376.1	Bug family tripartite tricarboxylate transporter substrate binding protein
AEP_02155	WP_087495377.1	SDR family NAD(P)-dependent oxidoreductase
AEP_02156	WP_087495378.1	feruloyl-CoA synthase
AEP_02157	WP_087495379.1	crotonase/enoyl-CoA hydratase family protein
AEP_02158	WP_087495380.1	amidohydrolase family protein
AEP_02159	WP_232460005.1	MarR family transcriptional regulator
AEP_02160	WP_087495381.1	LysR substrate-binding domain-containing protein
AEP_02161	WP_087495382.1	FAD-binding protein
AEP_02162	WP_087495383.1	CidA/LrgA family protein
AEP_02163	WP_087495384.1	LrgB family protein
AEP_02164	WP_087495385.1	hypothetical protein
AEP_02165	WP_087495386.1	phytanoyl-CoA dioxygenase family protein
AEP_02166	WP_087495387.1	asparaginase
AEP_02167	WP_087495388.1	arginase
none	none	methyl-accepting chemotaxis protein
none	none	Cache 3/Cache 2 fusion domain-containing protein
AEP_02169	WP_087495390.1	formate-dependent phosphoribosylglycinamide formyltransferase
AEP_02170	WP_087495391.1	MBL fold metallo-hydrolase
none	none	methyl-accepting chemotaxis protein
AEP_02172	WP_198301808.1	EAL domain-containing protein
AEP_02173	WP_087495394.1	hybrid sensor histidine kinase/response regulator
AEP_02174	WP_087495395.1	hypothetical protein
AEP_02175	WP_087495396.1	surface lipoprotein assembly modifier
AEP_02176	WP_157673133.1	FecR domain-containing protein
AEP_02177	WP_087495397.1	L-glutamate gamma-semialdehyde dehydrogenase
AEP_02178	WP_157673134.1	methyl-accepting chemotaxis protein
AEP_02179	WP_087495399.1	Lrp/AsnC ligand binding domain-containing protein
AEP_02180	WP_087495400.1	ABC transporter substrate-binding protein
AEP_02181	WP_087495401.1	YggS family pyridoxal phosphate-dependent enzyme
AEP_02182	WP_087495402.1	type IV pilus twitching motility protein PilT
AEP_02183	WP_087495403.1	PilT/PilU family type 4a pilus ATPase
AEP_02184	WP_087495404.1	NAD(P)-dependent oxidoreductase
AEP_02185	WP_087495405.1	BON domain-containing protein
AEP_02186	WP_087497288.1	phosphoheptose isomerase
AEP_02187	WP_087495406.1	YraN family protein
AEP_02188	WP_087495407.1	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
AEP_02189	WP_087495408.1	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
AEP_02190	WP_157673135.1	2-dehydro-3-deoxygalactonokinase
AEP_02191	WP_087495410.1	FadR family transcriptional regulator
AEP_02192	WP_087495411.1	SDR family oxidoreductase
AEP_02193	WP_157673136.1	SMP-30/gluconolactonase/LRE family protein
AEP_02194	WP_087495413.1	MATE family efflux transporter
AEP_02195	WP_087495414.1	alpha-glucosidase family protein
AEP_02196	WP_087495415.1	carbohydrate ABC transporter permease
AEP_02197	WP_087495416.1	sugar ABC transporter permease
AEP_02198	WP_198301809.1	ABC transporter substrate-binding protein
AEP_02199	WP_087495417.1	ATP-binding cassette domain-containing protein
AEP_02200	WP_087495418.1	hypothetical protein
AEP_02201	WP_087495419.1	low molecular weight phosphotyrosine protein phosphatase
AEP_02202	WP_087495420.1	DEAD/DEAH box helicase
AEP_02203	WP_157673137.1	response regulator
AEP_02204	WP_087495422.1	hypothetical protein
AEP_02205	WP_087497290.1	helix-turn-helix domain-containing protein
AEP_02206	WP_087495423.1	4-hydroxybenzoate 3-monooxygenase
AEP_02207	WP_087495424.1	HDOD domain-containing protein
AEP_02208	WP_087495425.1	glycine zipper 2TM domain-containing protein
AEP_02210	WP_087495426.1	c-type cytochrome
AEP_02211	WP_087495427.1	DUF2946 family protein
AEP_02212	WP_087497291.1	alpha/beta fold hydrolase
AEP_02213	WP_087495428.1	nuclear transport factor 2 family protein
AEP_02214	WP_087495429.1	LemA family protein
AEP_02215	WP_232459810.1	TPM domain-containing protein
AEP_02216	WP_087495431.1	TPM domain-containing protein
AEP_02217	WP_087495432.1	F0F1 ATP synthase subunit epsilon
AEP_02218	WP_198301810.1	F0F1 ATP synthase subunit beta
AEP_02219	WP_087495434.1	F0F1 ATP synthase subunit gamma
AEP_02220	WP_087495435.1	F0F1 ATP synthase subunit alpha
AEP_02221	WP_087495436.1	F0F1 ATP synthase subunit delta
AEP_02222	WP_087495437.1	F0F1 ATP synthase subunit B
AEP_02223	WP_019429175.1	F0F1 ATP synthase subunit C
AEP_02224	WP_087495438.1	F0F1 ATP synthase subunit A
AEP_02225	WP_087495439.1	ATP synthase subunit I
AEP_02226	WP_087495440.1	DUF493 family protein
AEP_02227	WP_232460006.1	lipoyl(octanoyl) transferase LipB
AEP_02228	WP_087495442.1	lipoyl synthase
AEP_02229	WP_157673138.1	hypothetical protein
AEP_02230	WP_157673139.1	HigA family addiction module antitoxin
AEP_02231	WP_087495446.1	HAD domain-containing protein
AEP_02232	WP_157673140.1	hypothetical protein
AEP_02233	WP_157673141.1	hypothetical protein
AEP_02234	WP_087495448.1	IS21-like element helper ATPase IstB
AEP_02235	none	IS21 family transposase
AEP_02237	WP_087497292.1	IS3 family transposase
AEP_02238	WP_198301812.1	IclR family transcriptional regulator
AEP_02240	WP_087495450.1	IS3 family transposase
AEP_02241	WP_198301813.1	EAL domain-containing protein
AEP_02242	WP_257789666.1	hypothetical protein
AEP_02243	WP_157673142.1	hypothetical protein
AEP_02244	WP_087495453.1	hypothetical protein
AEP_02245	WP_087495454.1	hypothetical protein
AEP_02246	WP_087495455.1	hypothetical protein
AEP_02247	WP_087495456.1	hypothetical protein
AEP_02248	WP_157673143.1	hypothetical protein
AEP_02249	WP_232459811.1	GNAT family N-acetyltransferase
AEP_02250	WP_157673144.1	DUF4902 domain-containing protein
AEP_02251	WP_087495460.1	autoinducer binding domain-containing protein
none	WP_087495461.1	hypothetical protein
AEP_02252	WP_157673145.1	(2Fe-2S)-binding protein
AEP_02253	WP_232459812.1	ferritin
AEP_02254	WP_087495462.1	cyclopropane-fatty-acyl-phospholipid synthase family protein
AEP_02255	WP_157673146.1	thioesterase
AEP_02256	WP_087495464.1	phosphopantetheine-binding protein
AEP_02257	WP_087495465.1	alpha/beta hydrolase
AEP_02258	WP_232460007.1	fatty acid desaturase
AEP_02259	WP_157673147.1	phenylacetate--CoA ligase family protein
AEP_02260	WP_087495468.1	patatin-like phospholipase family protein
none	WP_232459813.1	hypothetical protein
AEP_02262	WP_087495470.1	TniB family NTP-binding protein
AEP_02263	WP_087495471.1	DDE-type integrase/transposase/recombinase
AEP_02264	WP_087495472.1	TnsA endonuclease N-terminal domain-containing protein
AEP_02265	WP_087495473.1	hypothetical protein
AEP_02266	WP_087495474.1	L-glyceraldehyde 3-phosphate reductase
AEP_02267	WP_087495475.1	DMT family transporter
AEP_02268	WP_087495476.1	phosphoenolpyruvate--protein phosphotransferase
AEP_02269	WP_087495477.1	HPr family phosphocarrier protein
AEP_02270	WP_087495478.1	PTS fructose transporter subunit IIA
AEP_02271	WP_087495479.1	MFS transporter
AEP_02272	WP_157673149.1	hypothetical protein
AEP_02273	WP_087495481.1	DUF4197 domain-containing protein
AEP_02274	WP_087495482.1	TlpA family protein disulfide reductase
AEP_02275	WP_087495483.1	GNAT family N-acetyltransferase
AEP_02276	WP_087495484.1	peroxiredoxin
AEP_02277	WP_087495485.1	30S ribosomal protein S17
AEP_02278	WP_087495486.1	50S ribosomal protein L29
AEP_02279	WP_087495487.1	50S ribosomal protein L16
AEP_02280	WP_087495488.1	30S ribosomal protein S3
AEP_02281	WP_075585605.1	50S ribosomal protein L22
AEP_02282	WP_087495489.1	30S ribosomal protein S19
AEP_02283	WP_087495490.1	50S ribosomal protein L2
AEP_02284	WP_087495491.1	50S ribosomal protein L23
AEP_02285	WP_087495492.1	50S ribosomal protein L4
AEP_02286	WP_087495493.1	50S ribosomal protein L3
AEP_02287	WP_068674876.1	30S ribosomal protein S10
AEP_02288	WP_087495292.1	elongation factor Tu
AEP_02289	WP_087497295.1	elongation factor G
AEP_02290	WP_087495494.1	30S ribosomal protein S7
AEP_02291	WP_011466063.1	30S ribosomal protein S12
AEP_02292	WP_087495495.1	D-alanyl-D-alanine carboxypeptidase
AEP_02293	WP_087495496.1	alpha/beta fold hydrolase
AEP_02294	WP_087495497.1	2Fe-2S ferredoxin
AEP_02295	WP_087495498.1	VanZ family protein
AEP_02296	WP_087495499.1	CopD family protein
AEP_02297	WP_087493664.1	group II intron reverse transcriptase/maturase
AEP_02298	WP_087497296.1	porphobilinogen synthase
AEP_02299	WP_087495500.1	magnesium transporter CorA family protein
AEP_02300	WP_087495501.1	dienelactone hydrolase family protein
AEP_02301	WP_232460008.1	tripartite tricarboxylate transporter substrate-binding protein
AEP_02302	WP_087495503.1	SDR family oxidoreductase
AEP_02303	WP_087495504.1	amidohydrolase family protein
AEP_02304	WP_087495505.1	NAAT family transporter
AEP_02305	WP_087495506.1	LON peptidase substrate-binding domain-containing protein
AEP_02306	WP_087495507.1	ABC-type transport auxiliary lipoprotein family protein
AEP_02307	WP_087495508.1	MlaD family protein
AEP_02308	WP_087495509.1	ATP-binding cassette domain-containing protein
AEP_02309	WP_087495510.1	ABC transporter permease
AEP_02310	WP_087495511.1	enoyl-CoA hydratase/isomerase family protein
AEP_02311	WP_087497297.1	putative Na+/H+ antiporter
AEP_02312	WP_087495512.1	GMC family oxidoreductase N-terminal domain-containing protein
AEP_02313	WP_087495513.1	TSUP family transporter
AEP_02314	WP_087495514.1	penicillin-binding protein 2
AEP_02315	WP_087495515.1	rod shape-determining protein MreD
AEP_02316	WP_087495516.1	rod shape-determining protein MreC
AEP_02317	WP_087495517.1	rod shape-determining protein
AEP_02318	WP_087495518.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
AEP_02319	WP_087495519.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
AEP_02320	WP_087495520.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
AEP_02321	WP_157673150.1	DUF4124 domain-containing protein
AEP_02322	WP_087495521.1	orotate phosphoribosyltransferase
AEP_02323	WP_087497299.1	exodeoxyribonuclease III
AEP_02324	WP_087495522.1	M48 family metallopeptidase
AEP_02325	WP_087495523.1	AmpG family muropeptide MFS transporter
AEP_02326	WP_087495524.1	response regulator transcription factor
AEP_02327	WP_087495525.1	ATP-binding protein
AEP_02328	WP_087495526.1	ROK family transcriptional regulator
AEP_02329	WP_087495527.1	RbsD or FucU transport
AEP_02330	WP_087495528.1	ATP-binding cassette domain-containing protein
AEP_02331	WP_087495529.1	ABC transporter permease
AEP_02332	WP_087495530.1	substrate-binding domain-containing protein
AEP_02333	WP_087495531.1	nucleoside/nucleotide kinase family protein
AEP_02334	WP_087495532.1	lipopolysaccharide heptosyltransferase II
AEP_02335	WP_087495533.1	zinc-finger domain-containing protein
AEP_02336	WP_087495534.1	branched-chain amino acid transaminase
AEP_02337	WP_087495535.1	glycerate kinase
AEP_02338	WP_087495536.1	ATP-binding protein
AEP_02339	WP_087495537.1	response regulator transcription factor
AEP_02340	WP_087495538.1	cytochrome b/b6 domain-containing protein
AEP_02341	WP_232459815.1	diheme cytochrome c
AEP_02342	WP_087497301.1	DUF1924 domain-containing protein
AEP_02343	WP_087495539.1	hypothetical protein
AEP_02344	WP_087497302.1	DNA repair protein RadA
AEP_02345	WP_232459816.1	cation-translocating P-type ATPase
AEP_02346	WP_087495541.1	hypothetical protein
AEP_02347	WP_087495542.1	alanine racemase
AEP_02348	WP_087495543.1	lysophospholipid transporter LplT
AEP_02349	WP_087495544.1	GGDEF domain-containing protein
AEP_02350	WP_087495545.1	glutathione peroxidase
AEP_02351	WP_087495546.1	glycolate oxidase subunit GlcF
AEP_02352	WP_087495547.1	glycolate oxidase subunit GlcE
AEP_02353	WP_087495548.1	SMP-30/gluconolactonase/LRE family protein
AEP_02354	WP_157673151.1	aldose 1-epimerase
AEP_02355	WP_087495550.1	ammonium transporter
AEP_02356	WP_087495551.1	P-II family nitrogen regulator
AEP_02357	WP_087495552.1	YifB family Mg chelatase-like AAA ATPase
AEP_02358	WP_087495553.1	tetratricopeptide repeat protein
AEP_02359	WP_087495554.1	AAA family ATPase
AEP_02360	WP_198301814.1	pilus (MSHA type) biogenesis protein MshL
AEP_02361	WP_087495555.1	hypothetical protein
AEP_02362	WP_087495556.1	hypothetical protein
AEP_02363	WP_087495557.1	PilN domain-containing protein
AEP_02364	WP_087495558.1	hypothetical protein
AEP_02365	WP_087495559.1	hypothetical protein
AEP_02366	WP_087495560.1	hypothetical protein
AEP_02367	WP_087495561.1	type II secretion system GspH family protein
AEP_02368	WP_087495562.1	type II secretion system GspH family protein
none	none	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_02370	WP_157673153.1	O-antigen ligase family protein
none	none	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_02372	WP_157673154.1	hypothetical protein
AEP_02373	WP_087495567.1	type II secretion system F family protein
AEP_02374	WP_232459817.1	GspE/PulE family protein
AEP_02375	WP_087495568.1	glycine zipper 2TM domain-containing protein
AEP_02376	WP_087495569.1	hypothetical protein
AEP_02377	WP_087495570.1	methionine synthase
AEP_02378	WP_087495571.1	Gfo/Idh/MocA family oxidoreductase
AEP_02379	WP_087495572.1	hypothetical protein
AEP_02380	WP_087497305.1	homocysteine S-methyltransferase family protein
AEP_02381	WP_087495573.1	DNA helicase RecQ
AEP_02382	WP_087495574.1	hypothetical protein
AEP_02383	WP_087495575.1	AAA family ATPase
AEP_02384	WP_198301815.1	hypothetical protein
AEP_02385	WP_087497306.1	glutathione peroxidase
AEP_02386	WP_087495576.1	phosphoenolpyruvate carboxykinase (GTP)
AEP_02387	WP_157673155.1	hypothetical protein
AEP_02388	WP_087495578.1	LysR family transcriptional regulator
AEP_02389	WP_087495579.1	metallophosphoesterase
AEP_02390	WP_087495580.1	DNA ligase
AEP_02391	WP_087495581.1	universal stress protein
AEP_02392	WP_087495582.1	NAD(P)-dependent oxidoreductase
AEP_02393	WP_087495583.1	aldo/keto reductase
AEP_02394	WP_087495584.1	sugar ABC transporter permease YjfF
AEP_02395	WP_087495585.1	ABC transporter permease
AEP_02396	WP_087495586.1	sugar ABC transporter ATP-binding protein
AEP_02397	WP_087495587.1	ABC transporter substrate-binding protein
AEP_02398	WP_087495588.1	aldose 1-epimerase
AEP_02399	WP_232459818.1	TetR/AcrR family transcriptional regulator
AEP_02400	WP_087495589.1	LysR family transcriptional regulator ArgP
AEP_02401	WP_087497308.1	D-amino acid dehydrogenase
AEP_02402	WP_087495590.1	LysR family transcriptional regulator
AEP_02403	WP_087497309.1	aspartate aminotransferase family protein
AEP_02404	WP_087495591.1	CoA-acylating methylmalonate-semialdehyde dehydrogenase
AEP_02405	WP_157673156.1	hypothetical protein
AEP_02406	WP_087495592.1	LLM class flavin-dependent oxidoreductase
AEP_02407	WP_087497310.1	pirin family protein
AEP_02408	WP_157673157.1	GGDEF domain-containing protein
AEP_02409	WP_087495594.1	ATP-binding cassette domain-containing protein
AEP_02410	WP_087495595.1	response regulator
AEP_02411	WP_087495596.1	PhnD/SsuA/transferrin family substrate-binding protein
AEP_02412	WP_087495597.1	CoA transferase
AEP_02413	WP_087495598.1	GH1 family beta-glucosidase
AEP_02414	WP_087495599.1	substrate-binding domain-containing protein
AEP_02415	WP_087495600.1	acyl-CoA dehydrogenase
AEP_02416	WP_087497311.1	NAD(P)/FAD-dependent oxidoreductase
AEP_02417	WP_198301816.1	carbon-nitrogen hydrolase family protein
AEP_02418	WP_087495601.1	LysR substrate-binding domain-containing protein
AEP_02419	WP_087495602.1	hypothetical protein
AEP_02420	WP_087495603.1	NAD(P)-dependent oxidoreductase
AEP_02421	WP_087495604.1	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
AEP_02422	WP_087495605.1	dihydropyrimidinase
AEP_02423	WP_198301817.1	Zn-dependent hydrolase
AEP_02424	WP_087495606.1	sel1 repeat family protein
AEP_02425	WP_087495607.1	DMT family protein
AEP_02426	WP_087495608.1	DUF2127 domain-containing protein
AEP_02427	WP_087495609.1	glutathione-dependent disulfide-bond oxidoreductase
AEP_02428	WP_087495610.1	adenosine deaminase
AEP_02429	WP_087495611.1	DUF4287 domain-containing protein
AEP_02430	WP_087495612.1	two-component system response regulator
AEP_02431	WP_087495613.1	response regulator
AEP_02432	WP_157673158.1	ABC transporter substrate-binding protein
AEP_02433	WP_087495615.1	DTW domain-containing protein
AEP_02434	WP_087495616.1	Mpv17/PMP22 family protein
AEP_02435	WP_087495617.1	MYG1 family protein
AEP_02436	WP_087497314.1	hydroxypyruvate isomerase family protein
AEP_02437	WP_087495618.1	TerC family protein
AEP_02438	WP_087495619.1	efflux RND transporter permease subunit
AEP_02439	WP_087495620.1	efflux RND transporter periplasmic adaptor subunit
AEP_02440	WP_087495621.1	DMT family transporter
AEP_02441	WP_087495622.1	helix-turn-helix transcriptional regulator
AEP_02442	WP_232459819.1	AraC family transcriptional regulator
AEP_02443	WP_087495623.1	mannitol dehydrogenase family protein
AEP_02444	WP_087497316.1	SDR family oxidoreductase
AEP_02445	WP_087495624.1	ABC transporter ATP-binding protein
AEP_02446	WP_087495625.1	carbohydrate ABC transporter permease
AEP_02447	WP_087495626.1	sugar ABC transporter permease
AEP_02448	WP_087495627.1	sugar ABC transporter substrate-binding protein
AEP_02449	WP_087495628.1	sulfate ABC transporter substrate-binding protein
AEP_02450	WP_087495629.1	molybdopterin-binding protein
AEP_02451	WP_087495630.1	DMT family transporter
AEP_02452	WP_087495631.1	alpha/beta hydrolase
AEP_02453	WP_198301819.1	DMT family transporter
AEP_02454	WP_087495632.1	hypothetical protein
AEP_02455	WP_087495633.1	hypothetical protein
AEP_02456	WP_157673159.1	hypothetical protein
AEP_02457	WP_087495635.1	hypothetical protein
AEP_02458	WP_087495636.1	hypothetical protein
AEP_02459	WP_087495637.1	TolC family protein
AEP_02460	WP_087495638.1	copper oxidase
AEP_02461	WP_087495639.1	cupredoxin family protein
AEP_02462	WP_087497318.1	DUF411 domain-containing protein
AEP_02463	WP_087495640.1	copper-binding protein
none	WP_087495641.1	EamA family transporter
AEP_02465	WP_087495642.1	DUF599 family protein
AEP_02466	WP_087495643.1	MBL fold metallo-hydrolase
AEP_02467	WP_232459820.1	metalloregulator ArsR/SmtB family transcription factor
AEP_02468	WP_087495644.1	YeeE/YedE family protein
AEP_02469	WP_087495645.1	YeeE/YedE family protein
AEP_02470	WP_087495646.1	TIGR01244 family sulfur transferase
AEP_02471	WP_087495647.1	Rrf2 family transcriptional regulator
